iEnnemyPathNbr=18
Num=1,vPosX=930,vPosY=85
Num=2,vPosX=1115,vPosY=200
Num=3,vPosX=1300,vPosY=180
Num=4,vPosX=1400,vPosY=170
Num=5,vPosX=1510,vPosY=294
Num=6,vPosX=1550,vPosY=540
Num=7,vPosX=1450,vPosY=675
Num=8,vPosX=1350,vPosY=800
Num=9,vPosX=875,vPosY=925
Num=10,vPosX=915,vPosY=945
Num=11,vPosX=711,vPosY=840
Num=12,vPosX=450,vPosY=835
Num=13,vPosX=230,vPosY=835
Num=14,vPosX=230,vPosY=960
Num=15,vPosX=260,vPosY=1034
Num=16,vPosX=280,vPosY=1080
Num=17,vPosX=500,vPosY=1150
Num=18,vPosX=500,vPosY=1150
